product_id,product_name,category_name,brand,unit_price,cost_price,weight,color,size,stock_quantity,reorder_level,is_active,launch_date
1,Walmart Polarized solution-oriented middleware Home & Garden,Home & Garden,Walmart,5.0,2.09,2.95,Red,XS,406,33,False,2025-03-06
2,Ulta Synergistic eco-centric migration Beauty,Beauty,Ulta,32.21,14.95,2.81,Blue,M,895,33,True,2025-03-17
3,Target Organized empowering process improvement Home & Garden,Home & Garden,Target,29.15,15.06,1.53,Green,XS,915,43,True,2025-05-18
4,Dell Upgradable fault-tolerant hub Electronic,Electronics,Dell,627.17,346.1,1.91,Red,L,896,42,True,2025-03-01
5,Home Depot Multi-channeled methodical extranet Home & Garden,Home & Garden,Home Depot,62.21,41.93,1.55,Black,L,474,42,True,2024-09-20
6,Adidas Diverse encompassing toolset Clothing,Clothing,Adidas,93.12,37.48,5.09,Black,L,281,36,True,2024-12-30
7,Puma Networked needs-based array Sport,Sports,Puma,209.66,117.96,1.88,Red,S,324,27,True,2025-05-07
8,Apple Persevering dedicated access Electronic,Electronics,Apple,5.0,2.83,1.4,Black,L,57,26,True,2023-11-27
9,Target User-friendly incremental challenge Home & Garden,Home & Garden,Target,173.74,101.82,0.76,Gray,XXL,655,33,True,2024-06-06
10,H&M Organic impactful firmware Clothing,Clothing,H&M,61.92,41.96,2.32,Blue,L,884,27,True,2025-06-21
11,Maybelline Horizontal solution-oriented encryption Beauty,Beauty,Maybelline,97.79,60.5,3.61,Red,One Size,99,41,True,2024-12-24
12,IKEA Grass-roots secondary orchestration Home & Garden,Home & Garden,IKEA,131.32,66.4,5.63,Blue,One Size,231,36,True,2024-06-09
13,Cambridge Versatile national forecast Book,Books,Cambridge,5.0,2.37,2.17,Brown,XL,995,23,True,2024-03-27
14,LG Triple-buffered grid-enabled extranet Electronic,Electronics,LG,5.0,3.45,2.46,White,XL,676,42,True,2024-10-09
15,Adidas Multi-channeled modular portal Clothing,Clothing,Adidas,35.3,21.99,4.45,Red,L,537,33,False,2023-11-11
16,Oxford Integrated 6thgeneration forecast Book,Books,Oxford,24.64,17.06,2.02,Red,XL,396,44,True,2023-11-16
17,Oxford Front-line disintermediate conglomeration Book,Books,Oxford,35.18,15.39,1.92,Red,S,324,11,True,2024-07-18
18,Zara Multi-lateral systemic success Clothing,Clothing,Zara,55.88,32.75,3.19,Gray,XXL,3,21,True,2024-01-18
19,Penguin Devolved reciprocal attitude Book,Books,Penguin,38.25,23.31,2.99,Gray,S,346,16,True,2024-08-11
20,Nike Managed 4thgeneration circuit Sport,Sports,Nike,198.58,85.81,1.64,Red,S,599,33,True,2025-01-23
21,Nike Universal composite Internet solution Clothing,Clothing,Nike,63.0,43.87,0.67,Green,XS,8,35,False,2024-03-22
22,Target Persistent motivating hierarchy Home & Garden,Home & Garden,Target,5.0,2.39,4.27,Green,S,889,28,True,2024-11-08
23,Random House Operative value-added synergy Book,Books,Random House,24.4,15.6,4.34,Brown,S,881,19,True,2025-07-18
24,Nike Horizontal real-time alliance Sport,Sports,Nike,322.13,190.46,2.03,Brown,XXL,76,44,True,2023-08-26
25,Apple Organic executive encryption Electronic,Electronics,Apple,297.9,185.8,1.44,Green,S,898,45,True,2024-03-02
26,H&M Decentralized global approach Clothing,Clothing,H&M,155.09,98.71,4.51,Gray,S,143,23,True,2024-05-01
27,LG Stand-alone needs-based moratorium Electronic,Electronics,LG,7.14,4.08,2.42,Black,S,394,47,True,2024-03-03
28,Zara Synchronized logistical system engine Clothing,Clothing,Zara,86.99,37.56,3.83,Blue,XL,850,43,False,2025-07-19
29,Zara Vision-oriented zero tolerance project Clothing,Clothing,Zara,51.17,26.75,1.17,Black,XL,558,26,False,2023-11-18
30,Random House Fully-configurable disintermediate knowledgebase Book,Books,Random House,35.81,19.71,2.73,Black,XXL,642,25,True,2025-03-19
31,Dell Programmable explicit extranet Electronic,Electronics,Dell,448.66,191.24,2.85,Brown,XS,233,18,False,2024-11-28
32,Home Depot Total tangible matrix Home & Garden,Home & Garden,Home Depot,101.29,63.01,2.22,Gray,S,811,16,False,2024-08-21
33,Apple Object-based full-range access Electronic,Electronics,Apple,5.0,3.04,1.89,White,XL,495,12,True,2023-12-09
34,Ulta Switchable exuding system engine Beauty,Beauty,Ulta,110.86,62.76,2.99,Red,XXL,686,45,True,2024-03-25
35,Apple Devolved contextually-based strategy Electronic,Electronics,Apple,608.14,269.91,2.82,Green,S,743,23,True,2025-03-19
36,Samsung Upgradable incremental Internet solution Electronic,Electronics,Samsung,304.39,139.15,3.19,White,XXL,403,48,True,2025-07-27
37,Zara Triple-buffered executive neural-net Clothing,Clothing,Zara,27.29,14.51,2.88,Gray,L,660,29,True,2024-03-03
38,Nike Mandatory 3rdgeneration success Clothing,Clothing,Nike,107.38,48.71,2.56,Black,XS,101,35,True,2025-06-01
